name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;841;0;553;3191;1622;3191;1431;0
header;166;305;166;333;1836;333;1836;305
A;1300;35;1300;35;1300;35;1300;35
A;1293;37;1293;38;1294;38;1294;37
A;1360;43;1360;43;1366;43;1366;43
A;916;46;916;46;916;46;916;46
A;1267;47;1267;47;1269;47;1269;47
A;1166;48;1166;48;1166;48;1166;48
A;1081;54;1081;54;1082;54;1082;54
A;1317;62;1317;62;1317;62;1317;62
A;1307;63;1307;65;1311;65;1311;63
A;962;64;962;65;965;65;965;64
A;961;69;961;71;965;71;965;69
A;915;85;915;85;915;85;915;85
A;918;88;918;89;918;89;918;88
A;1355;93;1355;93;1361;93;1361;93
A;1156;115;1156;115;1161;115;1161;115
A;1130;118;1130;118;1130;118;1130;118
A;896;119;896;119;897;119;897;119
A;1096;119;1096;119;1097;119;1097;119
A;1080;121;1080;121;1081;121;1081;121
A;1068;121;1068;122;1071;122;1071;121
A;1366;122;1366;122;1368;122;1368;122
A;1356;122;1356;123;1360;123;1360;122
A;1437;134;1437;134;1438;134;1438;134
A;1393;138;1393;138;1393;138;1393;138
A;1433;140;1433;140;1433;140;1433;140
A;1353;151;1353;152;1357;152;1357;151
A;1437;167;1437;167;1437;167;1437;167
A;1240;172;1240;173;1242;173;1242;172
A;1267;187;1267;187;1268;187;1268;187
A;1271;189;1271;189;1272;189;1272;189
A;1265;191;1265;191;1268;191;1268;191
A;1260;192;1260;194;1261;194;1261;192
A;1240;201;1240;202;1241;202;1241;201
A;1244;211;1244;212;1245;212;1245;211
A;1250;227;1250;227;1250;227;1250;227
A;1441;241;1441;241;1441;241;1441;241
A;1254;242;1254;242;1254;242;1254;242
A;1247;244;1247;244;1247;244;1247;244
A;1318;247;1318;247;1318;247;1318;247
A;1309;253;1309;257;1311;257;1311;253
A;1246;258;1246;258;1246;258;1246;258
A;1269;259;1269;260;1270;260;1270;259
A;1333;266;1333;266;1335;266;1335;266
A;1285;271;1285;272;1290;272;1290;271
A;1272;280;1272;281;1273;281;1273;280
A;1379;287;1379;289;1382;289;1382;287
A;1321;294;1321;302;1339;302;1339;294
A;1282;296;1282;297;1282;297;1282;296
A;1277;298;1277;299;1278;299;1278;298
A;1241;320;1241;320;1241;320;1241;320
A;1185;322;1185;322;1185;322;1185;322
A;1300;326;1300;326;1300;326;1300;326
A;1051;334;1051;334;1051;334;1051;334
A;1309;338;1309;339;1309;339;1309;338
A;1280;339;1280;339;1280;339;1280;339
A;1006;344;1006;344;1007;344;1007;344
A;1305;345;1305;346;1306;346;1306;345
A;1027;346;1027;350;1029;350;1029;346
A;1365;346;1365;347;1368;347;1368;346
A;897;350;897;350;897;350;897;350
A;1023;350;1023;350;1023;350;1023;350
A;1042;359;1042;359;1042;359;1042;359
A;901;364;901;364;902;364;902;364
A;1255;367;1255;369;1255;369;1255;367
A;1011;370;1011;370;1011;370;1011;370
A;1361;370;1361;370;1362;370;1362;370
A;1078;371;1078;373;1078;373;1078;371
A;1315;371;1315;372;1315;372;1315;371
A;1318;373;1318;374;1319;374;1319;373
A;1038;374;1038;374;1038;374;1038;374
A;1310;374;1310;375;1311;375;1311;374
A;1376;374;1376;374;1378;374;1378;374
A;1011;376;1011;377;1013;377;1013;376
A;1256;377;1256;377;1256;377;1256;377
A;1316;377;1316;377;1316;377;1316;377
A;1419;383;1419;384;1420;384;1420;383
A;1087;384;1087;387;1089;387;1089;384
A;1039;385;1039;390;1046;390;1046;385
A;1082;386;1082;388;1082;388;1082;386
A;1320;386;1320;386;1320;386;1320;386
A;1317;392;1317;392;1318;392;1318;392
A;1320;399;1320;399;1320;399;1320;399
A;1263;402;1263;402;1263;402;1263;402
A;1324;402;1324;402;1324;402;1324;402
A;1357;404;1357;404;1358;404;1358;404
A;1288;405;1288;405;1288;405;1288;405
A;1338;412;1338;412;1338;412;1338;412
A;1336;415;1336;416;1336;416;1336;415
A;1277;417;1277;417;1278;417;1278;417
A;1109;419;1109;419;1113;419;1113;419
A;1237;423;1237;423;1237;423;1237;423
A;1330;423;1330;423;1331;423;1331;423
A;870;431;870;431;871;431;871;431
A;1029;433;1029;433;1029;433;1029;433
A;1332;440;1332;448;1332;448;1332;440
A;984;442;984;447;986;447;986;442
A;1313;445;1313;447;1315;447;1315;445
A;1428;447;1428;447;1430;447;1430;447
A;1333;451;1333;451;1333;451;1333;451
A;1338;451;1338;454;1339;454;1339;451
A;1027;452;1027;454;1027;454;1027;452
A;1317;454;1317;454;1317;454;1317;454
A;1345;454;1345;455;1346;455;1346;454
A;1029;457;1029;457;1029;457;1029;457
A;1281;457;1281;457;1281;457;1281;457
A;1284;457;1284;458;1287;458;1287;457
A;1344;467;1344;467;1344;467;1344;467
A;1096;470;1096;474;1099;474;1099;470
A;1297;477;1297;478;1298;478;1298;477
A;1034;482;1034;483;1035;483;1035;482
A;1359;492;1359;492;1360;492;1360;492
A;804;494;804;499;809;499;809;494
A;1453;497;1453;498;1454;498;1454;497
A;1292;498;1292;498;1293;498;1293;498
A;800;499;800;500;801;500;801;499
A;1290;502;1290;502;1290;502;1290;502
A;1456;507;1456;510;1457;510;1457;507
A;1437;508;1437;509;1438;509;1438;508
A;1322;510;1322;510;1322;510;1322;510
A;1430;515;1430;516;1431;516;1431;515
A;1113;527;1113;527;1113;527;1113;527
A;1097;529;1097;530;1098;530;1098;529
A;1302;530;1302;531;1305;531;1305;530
A;1320;530;1320;530;1320;530;1320;530
A;1426;531;1426;531;1427;531;1427;531
A;1294;537;1294;538;1295;538;1295;537
A;1310;537;1310;539;1311;539;1311;537
A;827;542;827;544;828;544;828;542
A;1431;543;1431;544;1432;544;1432;543
A;1311;544;1311;544;1311;544;1311;544
A;1309;547;1309;556;1314;556;1314;547
A;1446;549;1446;549;1446;549;1446;549
A;1066;550;1066;551;1067;551;1067;550
A;1103;552;1103;552;1104;552;1104;552
A;1111;552;1111;552;1111;552;1111;552
A;1322;556;1322;556;1322;556;1322;556
A;1420;556;1420;559;1424;559;1424;556
A;1242;558;1242;558;1242;558;1242;558
A;1442;560;1442;561;1446;561;1446;560
A;926;563;926;563;927;563;927;563
A;949;563;949;563;950;563;950;563
A;1155;563;1155;566;1157;566;1157;563
A;1302;564;1302;564;1303;564;1303;564
A;1357;564;1357;566;1359;566;1359;564
A;900;577;900;578;901;578;901;577
A;789;586;789;586;789;586;789;586
A;1327;588;1327;588;1327;588;1327;588
A;1018;590;1018;590;1018;590;1018;590
A;1018;593;1018;593;1018;593;1018;593
A;1136;598;1136;599;1136;599;1136;598
A;796;606;796;607;796;607;796;606
A;1147;607;1147;607;1147;607;1147;607
A;821;614;821;614;821;614;821;614
A;1224;617;1224;622;1224;622;1224;617
A;803;632;803;632;803;632;803;632
A;1159;632;1159;632;1159;632;1159;632
A;992;643;992;643;997;643;997;643
A;984;646;984;647;988;647;988;646
A;991;647;991;647;993;647;993;647
A;791;658;791;662;792;662;792;658
A;1292;668;1292;668;1292;668;1292;668
A;949;669;949;669;950;669;950;669
A;1016;672;1016;672;1016;672;1016;672
A;1174;672;1174;672;1174;672;1174;672
A;1195;672;1195;672;1196;672;1196;672
A;1323;694;1323;695;1324;695;1324;694
A;997;697;997;698;998;698;998;697
A;1322;698;1322;699;1323;699;1323;698
A;1345;699;1345;700;1345;700;1345;699
A;1018;702;1018;703;1018;703;1018;702
A;1026;704;1026;704;1026;704;1026;704
A;1142;714;1142;714;1143;714;1143;714
A;1354;720;1354;722;1354;722;1354;720
A;1184;725;1184;725;1186;725;1186;725
A;1019;728;1019;729;1020;729;1020;728
A;1026;728;1026;729;1026;729;1026;728
A;791;731;791;731;791;731;791;731
A;1218;743;1218;744;1219;744;1219;743
A;1359;744;1359;744;1359;744;1359;744
A;981;751;981;751;981;751;981;751
A;1168;756;1168;757;1170;757;1170;756
A;1338;763;1338;764;1339;764;1339;763
A;776;765;776;767;778;767;778;765
A;1138;767;1138;767;1138;767;1138;767
A;1215;768;1215;768;1215;768;1215;768
A;1338;769;1338;771;1340;771;1340;769
