name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;259;0;117;3175;2111;3175;2004;0
A;907;50;907;56;913;56;913;50
A;1736;267;1736;267;1736;267;1736;267
A;1607;515;1607;527;1623;527;1623;515
A;1630;537;1630;539;1633;539;1633;537
A;2008;1747;2008;1747;2008;1747;2008;1747
A;1913;2111;1913;2132;1919;2132;1919;2111
A;1841;2141;1841;2159;1858;2159;1858;2141
A;1708;2201;1708;2202;1710;2202;1710;2201
A;465;2462;465;2462;465;2462;465;2462
A;158;3068;158;3069;158;3069;158;3068
A;158;3074;158;3075;158;3075;158;3074
A;136;3139;136;3144;139;3144;139;3139
